month,meter,unit,type,cons,rate,band,actual_consumption_charge,actual_tax,actual_csrv,actual_total,expected_cc,expected_stamp,expected_csrv,expected_total,total_diff,pct_error,status
05,94246311,Offices-6-0-5,ELECTRICITY,221.676,2.16,1,479.01,7.0,15.0,501.013,478.82,7.09,15,500.91,0.1,0.02,CLOSE
05,94246306,Offices-4-4-9,ELECTRICITY,472.145,2.64,2,1246.67,15.0,20.0,1281.67,1246.46,15.11,20,1281.57,0.1,0.01,CLOSE
05,88546892,Offices-4-1-2,ELECTRICITY,132.879,2.16,1,287.37,4.0,15.0,306.37,287.02,4.25,15,306.27,0.1,0.03,CLOSE
05,94246314,Offices-7-4-8,ELECTRICITY,0.03,1.62,0,9.1,0.0,0.0,9.1,0.05,0.0,5,9.1,0.0,0.0,MATCH
05,94246363,Offices-2-1-5,ELECTRICITY,131.321,2.16,1,283.95,4.0,15.0,302.955,283.65,4.2,15,302.85,0.1,0.03,CLOSE
05,94246371,Offices-4-3-9,ELECTRICITY,727.048,2.74,3,1992.48,23.0,25.0,2040.476,1992.11,23.27,25,2040.38,0.1,0.0,CLOSE
05,94246303,Offices-2-2-3,ELECTRICITY,375.413,2.64,2,991.2,12.0,20.0,1023.203,991.09,12.01,20,1023.1,0.1,0.01,CLOSE
05,94246310,Offices-4-4-6,ELECTRICITY,0.0,1.62,0,9.1,0.0,0.0,9.1,0.0,0.0,5,9.1,0.0,0.0,MATCH
05,94246369,Offices-6-4-10,ELECTRICITY,209.447,2.16,1,453.21,6.0,15.0,474.207,452.41,6.7,15,474.11,0.1,0.02,CLOSE
05,94246309,Offices-4-4-8,ELECTRICITY,169.619,2.16,1,366.9,5.0,15.0,386.904,366.38,5.43,15,386.81,0.09,0.02,CLOSE
05,94246316,Offices-6-0-6,ELECTRICITY,477.922,2.64,2,1262.11,15.0,20.0,1297.107,1261.71,15.29,20,1297.0,0.11,0.01,CLOSE
05,94246312,Offices-6-2-9/10,ELECTRICITY,1159.172,2.79,4,3234.28,37.0,40.0,3311.282,3234.09,37.09,40,3311.18,0.1,0.0,CLOSE
05,94246307,Offices-7-4-3,ELECTRICITY,332.361,2.64,2,878.17,10.0,20.0,908.168,877.43,10.64,20,908.07,0.1,0.01,CLOSE
05,94246304,Offices-4-4-12,ELECTRICITY,106.72,2.16,1,231.03,3.0,15.0,249.03,230.52,3.42,15,248.94,0.09,0.04,CLOSE
05,94246359,Offices-7-0-3,ELECTRICITY,504.079,2.64,2,1331.0,16.0,20.0,1366.998,1330.77,16.13,20,1366.9,0.1,0.01,CLOSE
05,94246367,Offices-4-1-9,ELECTRICITY,484.647,2.64,2,1280.08,15.0,20.0,1315.076,1279.47,15.51,20,1314.98,0.1,0.01,CLOSE
05,94246383,Offices-2-3-1,ELECTRICITY,280.381,2.64,2,741.28,8.0,20.0,769.277,740.21,8.97,20,769.18,0.1,0.01,CLOSE
05,94246364,Offices-2-3-4,ELECTRICITY,967.018,2.74,3,2650.67,30.0,25.0,2705.673,2649.63,30.94,25,2705.57,0.1,0.0,CLOSE
05,94246362,Offices-2-2-4,ELECTRICITY,504.793,2.64,2,1332.91,16.0,20.0,1368.906,1332.65,16.15,20,1368.8,0.11,0.01,CLOSE
05,94246313,Offices-4-0-10,ELECTRICITY,295.049,2.64,2,779.47,9.0,20.0,808.47,778.93,9.44,20,808.37,0.1,0.01,CLOSE
05,94246366,Offices-5-0-3,ELECTRICITY,1206.978,2.79,4,3368.19,38.0,40.0,3446.191,3367.47,38.62,40,3446.09,0.1,0.0,CLOSE
05,94246361,Offices-5-0-4,ELECTRICITY,513.388,2.64,2,1355.87,16.0,20.0,1391.872,1355.34,16.43,20,1391.77,0.1,0.01,CLOSE
05,94246712,Offices-5-2-5,ELECTRICITY,1032.707,2.79,4,2881.4,33.0,40.0,2954.398,2881.25,33.05,40,2954.3,0.1,0.0,CLOSE
05,94246368,Offices-4-0-3,ELECTRICITY,759.751,2.74,3,2082.13,24.0,25.0,2131.129,2081.72,24.31,25,2131.03,0.1,0.0,CLOSE
05,94246365,Offices-4-0-4,ELECTRICITY,735.05,2.74,3,2014.66,23.0,25.0,2062.658,2014.04,23.52,25,2062.56,0.1,0.0,CLOSE
05,94246729,Offices-4-0-1,ELECTRICITY,1243.651,2.79,4,3470.68,39.0,40.0,3549.682,3469.79,39.8,40,3549.59,0.09,0.0,CLOSE
05,94246308,Offices-7-3-4,ELECTRICITY,89.26,1.62,0,145.56,2.0,5.0,152.557,144.6,2.86,5,152.46,0.1,0.07,CLOSE
05,94246727,Offices-5-4-2,ELECTRICITY,235.437,2.16,1,509.18,7.0,15.0,531.176,508.54,7.53,15,531.07,0.11,0.02,CLOSE
05,94246732,Offices-5-4-1,ELECTRICITY,240.803,2.16,1,520.94,7.0,15.0,542.939,520.13,7.71,15,542.84,0.1,0.02,CLOSE
05,94246728,Offices-4-3-5,ELECTRICITY,241.922,2.16,1,523.39,7.0,15.0,545.392,522.55,7.74,15,545.29,0.1,0.02,CLOSE
05,94246723,Offices-7-4-7,ELECTRICITY,21.134,1.62,0,35.01,0.0,5.0,40.013,34.24,0.68,5,39.92,0.09,0.23,CLOSE
05,94246720,Offices-7-3-5,ELECTRICITY,332.401,2.64,2,878.27,10.0,20.0,908.274,877.54,10.64,20,908.18,0.09,0.01,CLOSE
05,94246724,Offices-5-4-5,ELECTRICITY,861.881,2.74,3,2362.23,27.0,25.0,2414.233,2361.55,27.58,25,2414.13,0.1,0.0,CLOSE
05,94246801,Offices-4-4-13,ELECTRICITY,549.981,2.64,2,1452.65,17.0,20.0,1489.648,1451.95,17.6,20,1489.55,0.1,0.01,CLOSE
05,94246736,Offices-6-1-10,ELECTRICITY,65.489,1.62,0,106.29,2.0,5.0,113.287,106.09,2.1,5,113.19,0.1,0.09,CLOSE
05,94246372,Offices-4-3-12,ELECTRICITY,72.603,1.62,0,118.04,2.0,5.0,125.039,117.62,2.32,5,124.94,0.1,0.08,CLOSE
